Pollutant: Particulate matter (PM2.5)
Daily means
Unit: ug/m3
Source: NABEL
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Rigi-Seebodenalp;Jungfraujoch
01.01.2016;28.6;;42.6;44.5;17.1;46.4;22.9;;49.9;13.5;;;3.1;
02.01.2016;14.3;;48.3;12.5;9.4;13.6;14.6;;49.4;8.0;;;1.9;
03.01.2016;9.0;;30.9;1.6;3.6;5.1;6.6;;31.7;2.1;;;1.4;
04.01.2016;6.6;;18.4;0.0;2.4;2.7;4.7;;17.7;0.4;;;1.0;
05.01.2016;6.9;;19.3;1.3;3.6;3.5;4.3;;17.5;1.2;;;0.9;
06.01.2016;7.2;;12.0;0.0;4.9;3.0;4.2;;13.4;1.9;;;1.3;
07.01.2016;8.6;;8.7;3.5;3.7;5.6;5.6;;14.0;1.5;;;0.9;
08.01.2016;8.5;;17.6;4.4;4.5;6.5;6.5;;14.8;3.5;;;1.7;
09.01.2016;13.3;;26.4;4.3;8.0;6.8;11.1;;23.1;3.9;;;0.6;
10.01.2016;7.5;;18.1;4.2;3.3;5.4;7.0;;20.1;1.6;;;0.9;
11.01.2016;4.3;;11.7;0.0;0.5;2.5;2.6;;10.3;0.0;;;0.8;
12.01.2016;3.3;;7.8;;0.5;1.3;0.5;;7.4;0.1;;;0.8;
13.01.2016;6.3;;4.3;0.1;2.9;3.2;3.4;;5.4;2.6;;;;
14.01.2016;9.0;;12.9;2.9;6.0;5.3;9.5;;8.5;2.8;;;1.8;
15.01.2016;6.0;;8.2;0.0;2.4;2.8;2.4;;7.6;1.5;;;1.3;
16.01.2016;10.2;;2.9;7.5;7.7;8.0;10.8;;3.5;4.1;;;3.3;
17.01.2016;9.6;;2.8;4.3;6.3;6.7;9.3;;3.4;4.4;;;;
18.01.2016;19.4;;6.8;12.7;11.0;11.9;19.2;;7.9;9.7;;;2.6;
19.01.2016;27.2;;12.6;19.3;26.0;15.9;31.0;;12.1;21.8;;;1.4;
20.01.2016;36.4;;25.3;30.0;38.7;26.8;35.0;;23.3;28.7;;;3.5;
21.01.2016;29.8;;44.7;26.9;26.1;24.0;18.3;;31.1;23.1;;;9.2;
22.01.2016;26.9;;47.2;29.5;25.9;27.1;29.8;;39.5;21.8;;;5.3;
23.01.2016;18.8;;49.5;14.8;15.0;13.7;24.4;;33.7;5.8;;;1.5;
24.01.2016;15.4;;26.6;15.2;15.2;14.2;20.5;;25.6;12.0;;;0.7;
25.01.2016;15.4;;21.4;15.5;14.8;14.9;18.8;;23.4;11.7;;;0.7;
26.01.2016;15.8;;28.7;12.0;12.8;11.3;18.3;;23.5;14.9;;;1.2;
27.01.2016;16.1;;31.8;8.1;15.8;11.1;17.9;;25.7;11.4;;;2.1;
28.01.2016;16.7;;25.8;13.5;16.1;11.8;21.6;;23.0;15.2;;;3.4;
29.01.2016;14.9;;16.2;14.8;7.9;11.5;16.5;;19.4;9.1;;;3.6;
30.01.2016;10.5;;30.9;10.8;6.3;8.9;7.0;;22.9;5.8;;;3.2;
31.01.2016;2.0;;20.8;;0.6;0.1;1.2;;24.5;0.0;;;0.6;
01.02.2016;3.9;;24.0;1.2;0.9;1.0;1.4;;18.5;0.6;;;1.3;
02.02.2016;7.0;;55.3;3.5;0.8;3.0;4.1;;58.2;2.8;;;2.8;
03.02.2016;4.3;;42.7;1.8;1.5;1.5;3.1;;38.0;1.5;;;1.4;
04.02.2016;4.6;;3.4;2.5;1.9;2.3;3.5;;3.0;2.3;;;1.2;
05.02.2016;7.6;;14.4;4.0;3.1;4.0;5.9;;13.4;4.6;;;1.5;
06.02.2016;13.5;;32.7;11.8;10.7;12.0;11.5;;31.5;9.5;;;2.5;
07.02.2016;9.6;;17.0;8.3;5.7;6.9;8.6;;15.0;5.5;;;1.9;
08.02.2016;6.4;;12.1;2.6;2.1;2.2;2.4;;11.0;2.6;;;1.4;
09.02.2016;3.5;;10.7;2.6;1.0;2.2;1.5;;9.7;0.7;;;1.4;
10.02.2016;4.1;;3.3;2.2;1.5;2.0;2.1;;3.9;1.4;;;1.6;
11.02.2016;7.5;;5.0;3.9;3.5;3.8;6.2;;5.2;4.2;;;2.4;
12.02.2016;11.5;;18.0;7.2;7.1;6.7;11.6;;14.6;5.2;;;2.6;
13.02.2016;4.5;;20.8;3.7;3.7;3.6;2.9;;20.1;1.0;;;1.5;
14.02.2016;3.8;;32.4;2.6;4.5;3.1;3.0;;20.5;1.6;;;1.6;
15.02.2016;11.2;;11.6;11.1;11.0;9.9;10.0;;8.2;7.1;;;3.2;
16.02.2016;13.1;;16.1;12.1;14.3;11.3;9.9;;8.1;10.6;;;4.9;
17.02.2016;21.2;;6.5;15.5;21.0;14.7;14.6;;8.3;16.6;;;7.1;
18.02.2016;17.0;;11.1;16.7;16.8;16.2;19.6;;9.7;14.9;;;7.5;
19.02.2016;11.6;;5.5;11.0;9.9;11.6;11.6;;6.3;4.4;;;4.0;
20.02.2016;7.1;;3.9;4.1;2.6;4.0;5.9;;3.7;3.0;;;0.1;
21.02.2016;5.9;;8.7;2.3;2.1;1.7;2.7;;8.1;0.7;;;0.0;
22.02.2016;11.0;;17.9;8.0;7.4;8.4;7.8;;15.0;7.1;;;3.5;
23.02.2016;8.5;;14.6;6.5;1.8;6.3;8.4;;17.4;5.5;;;3.0;
24.02.2016;11.8;;8.2;10.2;9.3;8.9;12.0;;8.0;8.1;;;1.6;
25.02.2016;12.2;;15.4;9.9;12.2;10.0;12.0;;16.7;7.7;;;0.8;
26.02.2016;21.8;;22.0;17.4;20.1;16.3;17.5;;11.9;18.3;;;8.1;
27.02.2016;27.3;;12.4;26.4;23.2;24.9;24.6;;11.3;25.5;;;8.4;
28.02.2016;30.3;;6.0;24.4;29.6;23.8;26.9;;7.2;30.0;;;14.1;
29.02.2016;18.5;;7.2;23.1;40.3;21.7;22.8;;9.9;16.4;;;6.0;
01.03.2016;18.8;;2.5;24.7;27.0;24.4;24.9;;3.2;17.0;;;11.0;
02.03.2016;10.8;;8.5;7.0;6.0;6.2;8.1;;6.6;6.2;;;0.2;
03.03.2016;4.8;;0.0;2.1;2.4;2.3;4.1;;2.0;1.2;;;0.1;
04.03.2016;10.5;;3.5;6.4;7.5;6.4;10.6;;3.2;4.9;;;1.5;
05.03.2016;7.1;;10.4;4.7;5.0;7.2;9.9;;7.5;1.5;;;0.8;
06.03.2016;7.7;;12.7;4.6;6.2;5.1;6.7;;8.0;4.3;;;1.7;
07.03.2016;6.9;;3.9;4.4;6.0;5.3;7.1;;3.7;3.3;;;2.8;
08.03.2016;8.5;;2.9;9.4;9.4;9.2;8.9;;4.1;4.2;;;2.7;
09.03.2016;14.8;;5.0;17.5;16.6;17.8;16.4;;6.8;10.4;;;8.2;
10.03.2016;20.4;;5.4;26.7;20.8;26.8;22.1;;8.5;17.1;;;13.5;
11.03.2016;34.9;;10.7;33.5;34.2;33.1;33.8;;10.2;32.0;;;27.6;
12.03.2016;29.3;;20.1;25.4;30.7;25.3;28.4;;13.3;29.4;;;25.3;
13.03.2016;19.8;;17.3;14.4;15.8;15.0;16.9;;14.0;18.0;;;12.9;
14.03.2016;17.7;;14.7;14.2;15.4;14.7;16.0;;15.0;15.5;;;11.7;
15.03.2016;22.6;;15.7;20.3;21.9;20.5;23.7;;17.4;22.2;;;12.6;
16.03.2016;17.4;;5.6;13.7;13.2;14.0;15.2;;6.3;15.7;;;8.0;
17.03.2016;20.1;;7.5;20.6;20.3;20.1;21.9;;8.1;18.7;;;9.5;
18.03.2016;20.1;;6.0;20.4;25.4;19.8;23.3;;6.7;18.8;;;11.1;
19.03.2016;25.4;;6.3;26.8;31.4;26.5;29.0;;6.5;22.7;;;15.9;
20.03.2016;41.2;;9.1;46.5;42.2;45.9;46.4;;9.3;41.3;;;22.5;
21.03.2016;39.3;;13.4;34.3;24.9;34.1;38.2;;12.2;41.0;;;32.1;
