Pollutant: Particulate matter (PM2.5)
Daily means
Unit: ug/m3
Source: NABEL
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Rigi-Seebodenalp;Jungfraujoch
01.01.2020;23.4;23.3;12.3;22.4;32.0;24.7;27.6;19.5;22.3;14.2;18.7;8.5;1.0;0.1
02.01.2020;14.6;21.2;12.6;11.9;19.2;18.0;19.7;11.8;18.3;17.2;13.1;6.1;1.9;0.2
03.01.2020;22.0;18.1;11.6;13.0;15.1;16.3;28.8;11.3;19.4;14.0;11.8;9.5;3.2;0.1
04.01.2020;12.1;6.7;4.9;4.2;5.2;5.3;5.5;11.3;11.3;3.6;4.0;2.7;1.9;0.1
05.01.2020;10.9;6.3;6.2;5.7;11.1;7.1;6.5;6.8;10.5;6.3;7.0;4.9;4.4;0.1
06.01.2020;16.9;16.5;25.2;14.8;18.6;17.5;18.0;10.3;25.3;14.7;11.1;10.9;1.1;0.1
07.01.2020;17.3;16.1;30.3;10.4;16.4;15.3;17.8;11.1;;15.0;7.6;8.0;4.8;
08.01.2020;20.0;21.0;13.9;12.3;16.6;15.5;19.1;10.0;;18.3;11.3;10.8;1.1;0.1
09.01.2020;15.6;12.5;10.3;6.3;19.2;8.7;20.7;9.8;16.7;10.2;7.0;5.3;0.8;0.1
10.01.2020;8.5;3.9;12.9;2.5;4.4;2.7;3.7;10.3;15.9;3.0;2.5;2.5;2.5;0.2
11.01.2020;13.0;7.2;11.4;6.1;11.4;6.9;6.3;9.2;16.9;6.7;5.2;6.2;5.3;0.1
12.01.2020;15.1;13.1;8.4;14.1;15.4;17.7;18.8;8.6;16.5;14.4;15.0;13.1;4.4;0.1
13.01.2020;14.4;14.9;21.1;14.3;19.6;18.1;19.3;11.2;18.3;16.0;13.6;7.4;0.6;0.1
14.01.2020;12.9;9.3;26.3;7.2;22.0;9.9;19.0;11.7;19.0;12.0;7.2;7.2;1.5;0.1
15.01.2020;12.9;6.6;21.1;4.6;13.7;6.4;10.9;9.8;20.5;6.4;5.9;4.3;2.8;0.2
16.01.2020;12.1;14.5;14.4;6.5;11.4;8.2;12.0;10.7;16.1;9.7;5.7;5.6;2.3;0.2
17.01.2020;11.3;9.3;11.8;6.3;16.6;7.9;20.1;11.2;15.3;10.5;6.9;5.7;3.0;0.1
18.01.2020;7.8;3.1;21.2;3.4;5.1;4.5;6.3;5.7;15.5;3.2;4.2;2.4;1.7;0.1
19.01.2020;9.0;5.1;3.4;4.6;14.8;6.7;6.3;7.0;1.7;5.1;5.7;4.7;5.1;0.2
20.01.2020;12.6;11.0;5.0;9.4;12.8;11.9;10.1;8.7;6.8;10.3;11.7;9.6;5.4;0.2
21.01.2020;22.8;20.7;9.5;16.0;21.3;19.8;20.9;9.3;15.0;19.4;19.1;17.8;7.0;0.2
22.01.2020;31.8;34.2;9.5;24.1;35.4;28.7;32.0;15.2;16.6;30.7;25.2;21.2;1.2;0.8
23.01.2020;24.3;28.2;17.6;16.7;26.7;20.9;23.8;15.7;22.0;20.9;18.5;11.6;7.6;2.6
24.01.2020;27.6;32.7;24.6;21.2;28.3;29.8;26.0;25.2;19.0;17.5;20.9;12.3;8.2;9.3
25.01.2020;24.7;33.4;32.7;26.4;28.1;30.5;17.0;21.9;25.2;16.8;21.9;16.1;7.3;5.5
26.01.2020;22.5;33.5;26.4;17.5;24.5;25.6;16.3;19.2;24.1;14.4;21.8;15.2;10.2;2.0
27.01.2020;18.6;16.0;22.2;11.3;18.3;14.2;19.6;15.2;22.0;11.7;10.1;9.3;5.7;0.8
28.01.2020;4.3;2.6;20.1;2.0;1.4;2.6;2.9;5.0;22.0;1.8;2.6;1.8;0.9;0.4
29.01.2020;2.2;1.8;2.4;1.2;1.8;1.4;3.7;3.1;2.4;0.9;1.4;0.7;0.3;0.1
30.01.2020;8.1;5.6;6.5;2.7;6.7;3.1;5.8;6.5;4.5;4.1;1.9;2.7;0.6;0.8
31.01.2020;11.0;6.4;7.8;3.4;1.2;3.9;4.0;6.4;8.8;3.3;2.1;2.7;1.1;0.5
