Pollutant: Precipitation (PREC)
Daily sums
Unit: mm
Source: NABEL/MeteoSchweiz
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Rigi-Seebodenalp;Jungfraujoch
01.01.2018;9.4;4.7;2.2;4.2;3.6;3.4;10.0;11.9;2.0;4.8;7.4;0.6;0.8;
02.01.2018;1.7;0.1;0.0;3.6;2.8;4.8;5.4;4.3;0.0;1.6;3.4;2.4;0.6;
03.01.2018;5.7;4.8;0.4;8.8;7.8;11.6;12.2;7.8;0.7;6.5;16.0;3.5;0.3;
04.01.2018;17.1;11.2;0.0;21.8;8.4;27.0;35.8;40.0;2.8;17.4;23.1;9.8;3.5;
05.01.2018;2.1;2.4;1.9;5.1;6.6;4.2;13.1;0.3;1.9;0.9;7.5;0.3;0.0;
06.01.2018;0.4;0.6;7.6;0.0;2.2;0.0;2.1;0.0;6.1;1.7;0.0;0.3;0.0;
07.01.2018;0.0;0.0;3.8;0.0;0.0;0.0;0.0;0.0;3.7;0.0;0.0;0.0;0.0;
08.01.2018;0.0;0.0;0.6;0.0;0.0;0.0;0.0;1.1;0.5;0.0;0.0;0.0;0.0;
09.01.2018;0.0;0.6;35.7;0.0;0.0;0.0;0.0;14.3;33.9;0.1;0.0;0.0;1.4;
10.01.2018;0.0;0.0;1.7;0.0;0.3;0.0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;
11.01.2018;0.0;3.8;0.0;0.0;0.1;0.0;0.3;0.0;0.0;5.9;0.0;0.0;0.0;
12.01.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;
13.01.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
14.01.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
15.01.2018;0.2;0.7;0.0;2.4;0.5;1.8;2.8;0.3;0.0;0.3;3.0;0.1;0.0;
16.01.2018;6.9;4.2;0.0;11.8;13.2;11.7;11.0;3.9;0.0;8.5;19.3;1.9;0.5;
17.01.2018;5.9;1.0;0.0;11.9;11.8;10.3;4.6;6.1;0.9;0.9;10.8;1.9;0.0;
18.01.2018;4.6;3.4;0.0;3.4;13.1;5.3;19.8;6.1;0.0;4.8;11.3;0.4;0.0;
19.01.2018;4.1;2.6;0.0;8.0;7.3;8.1;5.5;4.1;0.0;1.9;10.2;1.3;0.8;
20.01.2018;3.2;3.6;1.6;9.5;5.2;8.3;;11.7;1.5;9.4;12.7;5.6;4.3;
21.01.2018;9.8;15.0;3.7;7.9;3.1;6.1;9.7;31.9;5.8;14.4;1.6;7.0;12.0;
22.01.2018;29.9;32.8;0.0;29.2;11.3;23.3;33.9;52.7;0.2;24.0;26.0;36.2;31.6;
23.01.2018;0.0;0.0;0.0;0.1;1.0;0.0;0.3;0.1;0.0;0.0;0.2;0.0;1.9;
24.01.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25.01.2018;0.0;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;
26.01.2018;0.0;3.3;8.5;0.0;7.1;0.0;0.1;0.0;6.7;2.3;0.0;0.0;0.0;
27.01.2018;0.0;0.1;6.7;0.0;4.0;0.0;0.4;0.0;6.3;0.4;0.0;0.0;0.0;
28.01.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
29.01.2018;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
30.01.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
31.01.2018;0.4;0.5;0.0;0.0;3.8;0.0;3.3;0.0;0.0;1.2;0.0;0.0;0.0;
01.02.2018;17.0;7.4;4.3;11.7;6.3;10.4;22.0;5.0;6.5;8.6;15.4;3.6;7.9;
02.02.2018;0.1;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;
03.02.2018;0.0;0.3;0.0;0.1;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.7;
04.02.2018;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
05.02.2018;0.0;0.0;2.7;0.0;0.8;0.0;0.0;0.0;2.4;0.2;0.0;0.0;0.0;
06.02.2018;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;
07.02.2018;0.1;0.0;1.6;0.3;0.3;0.9;0.0;0.0;1.9;0.0;1.3;0.7;0.3;
08.02.2018;0.0;0.0;0.0;0.5;0.5;1.1;0.2;0.0;0.0;0.0;0.6;0.4;0.1;
09.02.2018;0.0;0.0;1.1;0.0;0.0;0.0;0.0;0.0;1.1;0.0;0.0;0.0;0.0;
10.02.2018;0.3;0.3;0.0;0.0;0.0;0.2;0.3;0.0;0.0;0.1;0.0;0.1;0.2;
11.02.2018;3.0;2.0;0.0;3.2;2.3;2.5;1.6;1.0;0.0;0.4;2.2;0.7;2.6;
12.02.2018;2.4;0.7;0.0;1.8;0.7;2.1;1.3;0.3;0.0;0.3;2.5;0.5;1.8;
13.02.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
14.02.2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
15.02.2018;1.6;5.6;0.0;5.5;2.4;10.4;6.8;18.2;0.0;2.4;5.9;4.5;12.0;
16.02.2018;5.9;3.7;0.0;6.6;9.0;7.0;4.2;1.5;0.0;4.7;8.7;15.7;16.3;
